bloque_predictor,variables_en_tabla,clasificacion,decision_primaria,momento_T0,riesgo_auditado,justificacion,nota_operativa
Limitación funcional / dificultad para caminar,quest__PFQ020 (PFQ020); quest__PFQ049 (PFQ049); quest__PFQ051 (PFQ051); quest__PFQ054 (PFQ054); quest__PFQ057 (PFQ057); quest__PFQ090 (PFQ090); quest__DLQ010 (DLQ010); quest__DLQ020 (DLQ020); quest__DLQ040 (DLQ040); quest__DLQ050 (DLQ050); quest__DLQ060 (DLQ060); quest__DLQ080 (DLQ080),Dudosa,Requiere justificación clínica,"Disponible en T0, pero dudoso",Causalidad inversa / fragilidad o enfermedad avanzada,"La limitación funcional en mayores puede ser predictor legítimo de fragilidad, pero también señal de enfermedad avanzada cercana a la muerte.",Especial cuidado con dificultad para caminar/subir escalones y necesidad de ayuda.
Actividad física habitual,quest__PAQ605 (PAQ605); quest__PAQ620 (PAQ620); quest__PAQ635 (PAQ635); quest__PAQ650 (PAQ650); quest__PAQ665 (PAQ665); quest__PAQ710 (PAQ710); quest__PAQ715 (PAQ715),Admisible,Usar con cautela,Disponible en T0,Bajo-moderado; puede reflejar limitación funcional,"Conducta basal de salud. No es fuga directa, aunque puede captar parte de la limitación funcional en personas mayores.",No interpretar de forma causal; revisar solapamiento con limitación funcional.
Tabaquismo,quest__SMQ020 (SMQ020); quest__SMQ040 (SMQ040); quest__SMQ050Q (SMQ050Q); quest__SMQ050U (SMQ050U); quest__SMD641 (SMD641); quest__SMD650 (SMD650),Admisible,Usar,Disponible en T0,Bajo,Exposición basal clásica asociada a mortalidad; no es fuga.,Recodificar en categorías simples si procede.
Alcohol,quest__ALQ101 (ALQ101); quest__ALQ120Q (ALQ120Q); quest__ALQ130 (ALQ130); quest__ALQ151 (ALQ151),Admisible,Usar si cobertura suficiente,Disponible en T0,Bajo,Conducta basal. No es fuga.,Revisar no respuesta y saltos.
Comorbilidad cardiovascular,quest__MCQ160B (MCQ160B); quest__MCQ160C (MCQ160C); quest__MCQ160D (MCQ160D); quest__MCQ160E (MCQ160E); quest__MCQ160F (MCQ160F),Admisible,Usar,Disponible en T0,Bajo; antecedente basal legítimo,"Infarto, cardiopatía, angina, ictus u otras enfermedades previas son predictores legítimos de mortalidad por cualquier causa.",No excluir por “fuga”: son diagnósticos previos al T0.
Cáncer previo,quest__MCQ220 (MCQ220); quest__MCQ230A (MCQ230A); quest__MCQ230B (MCQ230B); quest__MCQ230C (MCQ230C); quest__MCQ230D (MCQ230D),Admisible,Usar,Disponible en T0,Bajo; antecedente basal legítimo,Diagnóstico previo de cáncer es predictor legítimo en mortalidad por cualquier causa.,No usar causa de muerte futura; solo antecedente basal.
"Enfermedad respiratoria, renal, hepática, artritis u otras condiciones crónicas",quest__MCQ010 (MCQ010); quest__MCQ053 (MCQ053); quest__MCQ080 (MCQ080); quest__MCQ160A (MCQ160A); quest__MCQ160G (MCQ160G); quest__MCQ160K (MCQ160K); quest__MCQ160L (MCQ160L); quest__MCQ160M (MCQ160M); quest__MCQ160N (MCQ160N); quest__MCQ160O (MCQ160O),Admisible,Usar si la codificación es clara,Disponible en T0,Bajo; antecedente basal legítimo,Comorbilidades previas basales. No son fuga en este objetivo.,Agrupar si hay categorías escasas.
Síntomas depresivos,quest__DPQ010 (DPQ010); quest__DPQ020 (DPQ020); quest__DPQ030 (DPQ030); quest__DPQ040 (DPQ040); quest__DPQ050 (DPQ050); quest__DPQ060 (DPQ060); quest__DPQ070 (DPQ070); quest__DPQ080 (DPQ080); quest__DPQ090 (DPQ090),Admisible,Usar con cautela,Disponible en T0,Moderado; revisar si capta deterioro terminal,"Síntomas basales. No se excluyen de entrada, pero conviene vigilar si funcionan como marcador inespecífico de deterioro global.",Revisar en sensibilidad si aparece muy dominante.
"Mortalidad, causa de muerte y seguimiento",mort__MORTSTAT (MORTSTAT); mort__UCOD_LEADING (UCOD_LEADING); mort__DIABETES (DIABETES); mort__HYPERTEN (HYPERTEN); mort__PERMTH_INT (PERMTH_INT); mort__PERMTH_EXM (PERMTH_EXM); mort__event (event); mort__followup_months_interview (followup_months_interview); mort__followup_months_exam (followup_months_exam),Excluida,No usar como predictor,Posterior a T0 o derivado del desenlace,Fuga directa / desenlace o seguimiento,"Son desenlace, causa de muerte o información de seguimiento. Usarlas sería fuga directa.",Se usan solo para construir Y y auditar seguimiento.
Variables derivadas del pipeline / banderas de integración,"Banderas técnicas, variables de disponibilidad, marcas de unión o derivados internos del pipeline",Excluida,No usar como predictor,No usar como predictor,Artefacto técnico,"Son variables creadas para controlar el pipeline, no información clínica basal del participante.","Pueden conservarse para trazabilidad, pero quedan fuera del set predictor."
